,Number_PP,Name,Full_name,Code,Unit_of_reconciliation,Additional_characteristics,Owners_name,Kind,Article,Weight,Accounting_characteristics,Storage_unit,VAT_rate,Service,Nomenclature_group,Sharto,Main_supplier,Main_supplier_object,Comment,Predefined,Price,Qty_stock,Remaining_amount,Currency
615,1150,Ковры MAROCCO,Ковры MAROCCO,2407,м2,Нет,Ковролин СИНТЕЛОН (Сербия),Товар,2407,Нет,Да,м2,0.2,Нет,Товары,3092608468,Монарх МБК-М ООО,Нет,,Нет,95.47,124.11838,28,Руб
616,1151,Ковры MAXIMILLIAN,Ковры MAXIMILLIAN,2627,м2,Нет,Ковролин OZ KAPLAN (Турция),Товар,2627,Нет,Да,м2,0.2,Нет,Товары,2186732818,,Нет,,Нет,7.16,440.315,4,Руб
617,1152,Ковры MAXIMILLIAN LUX,Ковры MAXIMILLIAN LUX,2566,м2,Нет,Ковролин OZ KAPLAN (Турция),Товар,2566,Нет,Да,м2,0.2,Нет,Товары,2186732818,,Нет,,Нет,14.47,677.9796,19,Руб
618,1153,Ковры MEDIO,Ковры MEDIO,2580,м2,Нет,Ковролин Украина,Товар,2580,Нет,Да,м2,0.2,Нет,Товары,2186732818,,Нет,,Нет,95.41,107.10208,87,Руб
619,1154,Ковры MESSI,Ковры MESSI,2517,м2,Нет,Ковролин OZ KAPLAN (Турция),Товар,2517,Нет,Да,м2,0.2,Нет,Товары,2853117507,,Нет,,Нет,59.65,321.19147,65,Руб
620,1155,Ковры MIRACLE,Ковры MIRACLE,2519,м2,Нет,Ковролин Украина,Товар,2519,Нет,Да,м2,0.2,Нет,Товары,2853117507,,Нет,,Нет,76.24,76.0,24,Руб
621,1156,Ковры MOKKO,Ковры MOKKO,2520,м2,Нет,Ковролин Украина,Товар,2520,Нет,Да,м2,0.2,Нет,Товары,2853117507,,Нет,,Нет,28.53,126.3594,78,Руб
622,1157,Ковры MONDO,Ковры MONDO,2521,м2,Нет,Ковролин СИНТЕЛОН (Сербия),Товар,2521,Нет,Да,м2,0.2,Нет,Товары,625203922,Монарх МБК-М ООО,Нет,,Нет,12.89,616.794,24,Руб
623,1160,Ковры MYSTIC,Ковры MYSTIC,2617,м2,Нет,Ковролин OZ KAPLAN (Турция),Товар,2617,Нет,Да,м2,0.2,Нет,Товары,625203922,,Нет,,Нет,74.5,647.48201,5,Руб
624,1161,Ковры PAMELA,Ковры PAMELA,2638,м2,Нет,Ковролин OZ KAPLAN (Турция),Товар,2638,Нет,Да,м2,0.2,Нет,Товары,625203922,,Нет,,Нет,8.39,190.1594,1,Руб
625,1162,Ковры PANAMA,Ковры PANAMA,2556,м2,Нет,Ковролин OZ KAPLAN (Турция),Товар,2556,Нет,Да,м2,0.2,Нет,Товары,3015797664,,Нет,,Нет,81.8,249.20188,92,Руб
626,1163,Ковры PARMA ,Ковры PARMA ,2581,м2,Нет,Ковролин OZ KAPLAN (Турция),Товар,2581,Нет,Да,м2,0.2,Нет,Товары,3015797664,,Нет,,Нет,6.58,162.1065,96,Руб
627,1164,Ковры PARMA SHAGGY,Ковры PARMA SHAGGY,2567,м2,Нет,Ковролин OZ KAPLAN (Турция),Товар,2567,Нет,Да,м2,0.2,Нет,Товары,4039502895,,Нет,,Нет,50.72,2536.0,50,Руб
628,1165,Ковры PLAY,Ковры PLAY,2522,м2,Нет,Ковролин СИНТЕЛОН (Сербия),Товар,2522,Нет,Да,м2,0.2,Нет,Товары,4039502895,Монарх МБК-М ООО,Нет,,Нет,54.47,126.6863,22,Руб
629,1166,Ковры PRACTICA,Ковры PRACTICA,2543,м2,Нет,Ковролин СИНТЕЛОН (Сербия),Товар,2543,Нет,Да,м2,0.2,Нет,Товары,4039502895,Монарх МБК-М ООО,Нет,,Нет,54.59,840.45855,6,Руб
630,1167,Ковры PRIZMA,Ковры PRIZMA,2528,м2,Нет,Ковролин СИНТЕЛОН (Сербия),Товар,2528,Нет,Да,м2,0.2,Нет,Товары,404084248,Монарх МБК-М ООО,Нет,,Нет,83.66,219.18321,54,Руб
631,1170,Ковры ROSINA,Ковры ROSINA,2574,м2,Нет,Ковролин УРГАЗ (Узбекистан),Товар,2574,Нет,Да,м2,0.2,Нет,Товары,404084248,Монарх МБК-М ООО,Нет,,Нет,62.36,908.56622,88,Руб
632,1171,Ковры SANGZAR,Ковры SANGZAR,2523,м2,Нет,Ковролин УРГАЗ (Узбекистан),Товар,2523,Нет,Да,м2,0.2,Нет,Товары,404084248,,Нет,,Нет,46.98,231.10852,38,Руб
633,1172,Ковры SEDNA CARVING,Ковры SEDNA CARVING,2618,м2,Нет,Ковролин OZ KAPLAN (Турция),Товар,2618,Нет,Да,м2,0.2,Нет,Товары,3702539302,,Нет,,Нет,46.91,203.9522,73,Руб
634,1173,Ковры SEVILLA,Ковры SEVILLA,2557,м2,Нет,Ковролин OZ KAPLAN (Турция),Товар,2557,Нет,Да,м2,0.2,Нет,Товары,3702539302,,Нет,,Нет,73.5,316.23083,8,Руб
635,1174,Ковры SHAGGY 3D,Ковры SHAGGY 3D,2628,м2,Нет,Ковролин УРГАЗ (Узбекистан),Товар,2628,Нет,Да,м2,0.2,Нет,Товары,3702539302,Монарх МБК-М ООО,Нет,,Нет,96.57,508.49057,56,Руб
636,1175,Ковры SHAGGY BRAVO,Ковры SHAGGY BRAVO,2413,м2,Нет,Ковролин УРГАЗ (Узбекистан),Товар,2413,Нет,Да,м2,0.2,Нет,Товары,2415099581,Монарх МБК-М ООО,Нет,,Нет,85.36,740.63166,4,Руб
637,1176,Ковры Shaggy Lama,Ковры Shaggy Lama,2418,м2,Нет,Ковролин МОЛДАБЕЛА (Молдова),Товар,2418,Нет,Да,м2,0.2,Нет,Товары,2415099581,Монарх МБК-М ООО,Нет,,Нет,20.53,303.622,59,Руб
638,1177,Ковры Shaggy Lux,Ковры Shaggy Lux,2405,м2,Нет,Ковролин МОЛДАБЕЛА (Молдова),Товар,2405,Нет,Да,м2,0.2,Нет,Товары,2415099581,Монарх МБК-М ООО,Нет,,Нет,11.18,183.2045,94,Руб
639,1200,Ковры SOFT,Ковры SOFT,2620,м2,Нет,Ковролин ПЛАТО ХАЛИ (Турция),Товар,2620,Нет,Да,м2,0.2,Нет,Товары,1264607194,,Нет,,Нет,11.7,404.4726,8,Руб
640,1201,Ковры SUPER DELUX,Ковры SUPER DELUX,2416,м2,Нет,Ковролин УРГАЗ (Узбекистан),Товар,2416,Нет,Да,м2,0.2,Нет,Товары,1264607194,Монарх МБК-М ООО,Нет,,Нет,1.4100000000000001,110.155,1,Руб
641,1202,Ковры ULTRASOFT,Ковры ULTRASOFT,2592,м2,Нет,Ковролин OZ KAPLAN (Турция),Товар,2592,Нет,Да,м2,0.2,Нет,Товары,2880697649,,Нет,,Нет,66.76,127.8478,52,Руб
642,1203,Ковры VISCOSE LUX,Ковры VISCOSE LUX,2417,м2,Нет,Ковролин УРГАЗ (Узбекистан),Товар,2417,Нет,Да,м2,0.2,Нет,Товары,2880697649,Монарх МБК-М ООО,Нет,,Нет,74.9,601.44528,9,Руб
643,1204,Ковры VITRIN,Ковры VITRIN,2626,м2,Нет,Ковролин ПЛАТО ХАЛИ (Турция),Товар,2626,Нет,Да,м2,0.2,Нет,Товары,2880697649,,Нет,,Нет,22.78,543.12369,54,Руб
644,1205,Ковры Альпака,Ковры Альпака,2399,м2,Нет,Ковролин БРЕСТ (Беларусь) ,Товар,2399,Нет,Да,м2,0.2,Нет,Товары,144020697,Монарх МБК-М ООО,Нет,,Нет,28.72,138.3963,36,Руб
645,1206,Ковры Валенсия,Ковры Валенсия,2560,м2,Нет,Ковролин БРЕСТ (Беларусь) ,Товар,2560,Нет,Да,м2,0.2,Нет,Товары,144020697,Монарх МБК-М ООО,Нет,,Нет,30.57,107.327,99,Руб
646,1207,Ковры Гранд,Ковры Гранд,2501,м2,Нет,Ковролин БРЕСТ (Беларусь) ,Товар,2501,Нет,Да,м2,0.2,Нет,Товары,144020697,Монарх МБК-М ООО,Нет,,Нет,76.85,783.60173,55,Руб
647,1210,Ковры Ирбис,Ковры Ирбис,2414,м2,Нет,Ковролин БРЕСТ (Беларусь) ,Товар,2414,Нет,Да,м2,0.2,Нет,Товары,4160160011,Монарх МБК-М ООО,Нет,,Нет,52.4,957.50146,8,Руб
648,1211,Ковры Карвинг,Ковры Карвинг,1891,м2,Нет,КОВРЫ,Товар,1891,Нет,Да,м2,0.2,Нет,Товары,4160160011,,Нет,,Нет,64.39,186.11976,54,Руб
649,1212,Ковры Панда,Ковры Панда,1893,м2,Нет,КОВРЫ,Товар,1893,Нет,Да,м2,0.2,Нет,Товары,3149835566,,Нет,,Нет,59.33,941.55829,53,Руб
650,1213,Ковры Сити,Ковры Сити,2400,м2,Нет,Ковролин БРЕСТ (Беларусь) ,Товар,2400,Нет,Да,м2,0.2,Нет,Товары,3149835566,Монарх МБК-М ООО,Нет,,Нет,90.1,892.80369,2,Руб
651,1214,Ковры Скандинавия,Ковры Скандинавия,2415,м2,Нет,Ковролин БРЕСТ (Беларусь) ,Товар,2415,Нет,Да,м2,0.2,Нет,Товары,3146025562,Монарх МБК-М ООО,Нет,,Нет,25.2,187.4712,4,Руб
652,1215,Ковры Супер Панда,Ковры Супер Панда,1890,м2,Нет,КОВРЫ,Товар,1890,Нет,Да,м2,0.2,Нет,Товары,3146025562,,Нет,,Нет,33.77,568.19181,36,Руб
653,1216,Ковры Сфинкс,Ковры Сфинкс,2401,м2,Нет,Ковролин БРЕСТ (Беларусь) ,Товар,2401,Нет,Да,м2,0.2,Нет,Товары,3146025562,Монарх МБК-М ООО,Нет,,Нет,21.32,872.18591,4,Руб
654,1217,Ковры Тринити,Ковры Тринити,2575,м2,Нет,Ковролин БРЕСТ (Беларусь) ,Товар,2575,Нет,Да,м2,0.2,Нет,Товары,993284382,Монарх МБК-М ООО,Нет,,Нет,73.56,632.46489,92,Руб
655,1220,Ковры Фридом,Ковры Фридом,2403,м2,Нет,Ковролин БРЕСТ (Беларусь) ,Товар,2403,Нет,Да,м2,0.2,Нет,Товары,993284382,Монарх МБК-М ООО,Нет,,Нет,82.58,897.74074,26,Руб
656,1221,Ковры Хит сет,Ковры Хит сет,1894,м2,Нет,КОВРЫ,Товар,1894,Нет,Да,м2,0.2,Нет,Товары,993284382,,Нет,,Нет,15.71,240.377,4,Руб
657,1222,Ковры Шагги Лазанья,Ковры Шагги Лазанья,1892,м2,Нет,КОВРЫ,Товар,1892,Нет,Да,м2,0.2,Нет,Товары,3189927404,,Нет,,Нет,90.7,707.64124,9,Руб
658,1223,Ковры Шейк,Ковры Шейк,2404,м2,Нет,Ковролин БРЕСТ (Беларусь) ,Товар,2404,Нет,Да,м2,0.2,Нет,Товары,3189927404,Монарх МБК-М ООО,Нет,,Нет,23.4,143.3294,72,Руб
659,1224,Колено,Колено,2291,шт,Нет,Строительные товары двери,Товар,2291,Нет,Нет,шт,0.2,Нет,Товары,3189927404,,Нет,,Нет,25.29,277.7005,33,Руб
660,1225,Колодец,Колодец,2113,шт,Нет,Строительные товары двери,Товар,2113,Нет,Нет,шт,0.2,Нет,Товары,1020561564,,Нет,,Нет,92.4,44814.0,485,Руб
661,1226,Кольцо ж/б,Кольцо ж/б,2304,шт,Нет,Строительные товары двери,Товар,2304,Нет,Нет,шт,0.2,Нет,Товары,1020561564,,Нет,,Нет,80.66,547.44121,2,Руб
662,1227,Командировочные расходы,Командировочные расходы,2264,шт,Нет,Услуги,Услуга,2264,Нет,Нет,шт,0.2,Да,Товары,1020561564,,Нет,,Нет,62.66,174.10902,84,Руб
663,1230,Комиссия за факторинговое обслуживание,Комиссия за факторинговое обслуживание,1954,шт,Нет,Услуги,Услуга,1954,Нет,Нет,шт,0.2,Да,Товары,1175161739,,Нет,,Нет,86.83,352.30564,16,Руб
664,1231,Комитекс,,953,,Нет,Линолеум,Товар,953,Нет,Нет,,,Нет,,1175161739,,Нет,,Нет,57.39,304.17446,56,Руб
665,1232,Компенсация расходов на подключение к электронной отчетности,Компенсация расходов на подключение к электронной отчетности,2320,шт,Нет,Услуги,Услуга,2320,Нет,Нет,шт,0.2,Да,Товары,1175161739,,Нет,,Нет,15.57,661.10291,77,Руб
666,1233,Комплекс работ по разработке сайта,Комплекс работ по разработке сайта,1863,,Нет,Услуги,Услуга,1863,Нет,Нет,,0.2,Да,Товары,2358263950,,Нет,,Нет,89.86,115.10333,9,Руб
667,1234,Комплект дымохода,Комплект дымохода,2243,шт,Нет,Строительные товары двери,Товар,2243,Нет,Нет,шт,0.2,Нет,Товары,2358263950,,Нет,,Нет,41.5,365.15147,5,Руб
668,1235,Комплект щитов для стенда,Комплект щитов для стенда,2276,шт,Нет,Оборудование,Товар,2276,Нет,Нет,шт,0.2,Нет,Товары,2358263950,,Нет,,Нет,78.65,519.40819,35,Руб
669,1236,Комплект щитов для стенда EUROHOME 780х540х224,Комплект щитов для стенда EUROHOME 780х540х224,2562,шт,Нет,Оборудование,Товар,2562,Нет,Нет,шт,0.2,Нет,Товары,2248310176,,Нет,,Нет,51.17,179.9159,43,Руб
670,1237,Комплект щитов для стенда SPC 780х360х60,Комплект щитов для стенда SPC 780х360х60,2531,шт,Нет,Оборудование,Товар,2531,Нет,Нет,шт,0.2,Нет,Товары,2248310176,,Нет,,Нет,2.9,139.29,51,Руб
671,1240,Комплектовка товара,Комплектовка товара,1970,т,Нет,Услуги,Услуга,1970,Нет,Нет,т,0.2,Да,Товары,2248310176,,Нет,,Нет,7.78,45.35,1,Руб
672,1241,Компьютер ,Компьютер ,951,шт,Нет,Материалы,Материал,951,Нет,Нет,шт,0.2,Нет,Товары,4008743771,,Нет,,Нет,2.73,405.1105,65,Руб
673,1242,Компьютор (СТ),Компьютор (СТ),950,шт,Нет,Материалы,Материал,950,Нет,Нет,шт,0.2,Нет,Товары,4008743771,,Нет,,Нет,15.3,859.1291,77,Руб
674,1243,Конвектор электрический,Конвектор электрический,2612,шт,Нет,Материалы,Материал,2612,Нет,Нет,шт,0.2,Нет,Товары,4008743771,,Нет,,Нет,12.97,728.9442,16,Руб
675,1244,Конверт 110х220 50шт/уп.,Конверт 110х220 50шт/уп.,2333,шт,Нет,Материалы,Материал,2333,Нет,Нет,шт,0.2,Нет,Товары,691191889,,Нет,,Нет,95.17,663.63097,71,Руб
676,1245,Конверт 162х229 50шт/уп.,Конверт 162х229 50шт/уп.,2334,шт,Нет,Материалы,Материал,2334,Нет,Нет,шт,0.2,Нет,Товары,691191889,,Нет,,Нет,24.89,852.21206,28,Руб
677,1246,Конверт С4 декстрин  229х324 50шт/уп.,Конверт С4 декстрин  229х324 50шт/уп.,2073,шт,Нет,Материалы,Материал,2073,Нет,Нет,шт,0.2,Нет,Товары,1295626430,,Нет,,Нет,64.49,179.11543,71,Руб
678,1247,Конверт С4стрип  229х324 50шт/уп.,Конверт С4стрип  229х324 50шт/уп.,1846,шт,Нет,Материалы,Материал,1846,Нет,Нет,шт,0.2,Нет,Товары,1295626430,,Нет,,Нет,60.36,35.2112,6,Руб
679,1250,Конверт С5стрип 162х229 100шт/уп.,Конверт С5стрип 162х229 100шт/уп.,1847,шт,Нет,Материалы,Материал,1847,Нет,Нет,шт,0.2,Нет,Товары,1295626430,,Нет,,Нет,30.78,40.1231,2,Руб
680,1251,Конверт С6стрип 114х162 50шт/уп.,Конверт С6стрип 114х162 50шт/уп.,1933,шт,Нет,Материалы,Материал,1933,Нет,Нет,шт,0.2,Нет,Товары,2979042969,,Нет,,Нет,59.17,944.55856,48,Руб
681,1252,Конверт-пакет  250х353,Конверт-пакет  250х353,2074,шт,Нет,Материалы,Материал,2074,Нет,Нет,шт,0.2,Нет,Товары,2979042969,,Нет,,Нет,14.6,473.665,38,Руб
682,1253,Конек полка,Конек полка,2610,шт,Нет,Строительные товары двери,Товар,2610,Нет,Нет,шт,0.2,Нет,Товары,2979042969,,Нет,,Нет,81.39,62.5046,18,Руб
683,1254,Консалтинговые услуги,Консалтинговые услуги,2272,шт,Нет,Услуги,Услуга,2272,Нет,Нет,шт,0.2,Да,Товары,216839252,,Нет,,Нет,84.5,164.13784,2,Руб
684,1255,Контроллер,Контроллер,2598,шт,Нет,Материалы,Материал,2598,Нет,Нет,шт,0.2,Нет,Товары,216839252,,Нет,,Нет,73.43,878.64471,54,Руб
685,1256,Копировальный аппарат ,Копировальный аппарат ,1836,шт,Нет,Материалы,Материал,1836,Нет,Нет,шт,0.2,Нет,Товары,216839252,,Нет,,Нет,39.45,417.1645,65,Руб
686,1257,Корзина д/мусора,Корзина д/мусора,2280,шт,Нет,Материалы,Материал,2280,Нет,Нет,шт,0.2,Нет,Товары,2696784243,,Нет,,Нет,47.2,19.896,8,Руб
687,1260,"короб архивный ДЕЛОПРОИЗВОДСТВО 480*325*295,Т24","короб архивный ДЕЛОПРОИЗВОДСТВО 480*325*295,Т24",2013,шт,Нет,Материалы,Материал,2013,Нет,Нет,шт,0.2,Нет,Товары,2696784243,,Нет,,Нет,85.54,711.60818,94,Руб
688,1261,короб архивный красный (гофрокартон),короб архивный красный (гофрокартон),2015,шт,Нет,Материалы,Материал,2015,Нет,Нет,шт,0.2,Нет,Товары,1918863952,,Нет,,Нет,90.73,103.9345,19,Руб
689,1262,короб архивный синий (гофрокартон),короб архивный синий (гофрокартон),2014,шт,Нет,Материалы,Материал,2014,Нет,Нет,шт,0.2,Нет,Товары,1918863952,,Нет,,Нет,42.38,84.0,18,Руб
690,1263,Корпуса без блоков питания,Корпуса без блоков питания,1909,шт,Нет,Материалы,Материал,1909,Нет,Нет,шт,0.2,Нет,Товары,1918863952,,Нет,,Нет,15.33,833.12769,89,Руб
691,1264,Корректирующая жидкость,Корректирующая жидкость,1541,шт,Нет,Материалы,Материал,1541,Нет,Нет,шт,0.2,Нет,Товары,1143902163,,Нет,,Нет,53.92,904.48743,68,Руб
692,1265,Костюм утепленый ВАХТА-ПРОФИ синий,Костюм утепленый ВАХТА-ПРОФИ синий,2032,шт,Нет,Материалы,Материал,2032,Нет,Нет,шт,0.2,Нет,Товары,1143902163,,Нет,,Нет,42.8,262.11024,96,Руб
693,1266,Котел,Котел,2268,шт,Нет,Строительные товары двери,Товар,2268,Нет,Нет,шт,0.2,Нет,Товары,1143902163,,Нет,,Нет,18.72,623.11662,56,Руб
694,1267,Краска штепмельная ,Краска штепмельная ,2281,шт,Нет,Материалы,Материал,2281,Нет,Нет,шт,0.2,Нет,Товары,2042353252,,Нет,,Нет,54.54,314.17125,56,Руб
695,1270,Крепеж,Крепеж,2555,шт,Нет,Материалы,Материал,2555,Нет,Нет,шт,0.2,Нет,Товары,2042353252,,Нет,,Нет,50.3,660.33019,8,Руб
696,1271,Кресло Chairman,Кресло Chairman,2452,шт,Нет,Материалы,Материал,2452,Нет,Нет,шт,0.2,Нет,Товары,2042353252,,Нет,,Нет,20.21,407.8225,47,Руб
697,1272,Кресло Престиж,Кресло Престиж,1939,шт,Нет,Материалы,Материал,1939,Нет,Нет,шт,0.2,Нет,Товары,3856917650,,Нет,,Нет,39.1,595.23264,5,Руб
698,1273,Кронон Модерн 8мм 33класс,,2366,,Нет,Ламинат Мостовдрев,Товар,2366,Нет,Нет,,,Нет,,3856917650,,Нет,,Нет,93.67,481.45055,27,Руб
699,1274,Кронштейн желоба,Кронштейн желоба,2292,шт,Нет,Строительные товары двери,Товар,2292,Нет,Нет,шт,0.2,Нет,Товары,3856917650,,Нет,,Нет,95.99,280.26877,2,Руб
700,1275,Крышка к тумбе,Крышка к тумбе,2451,шт,Нет,Материалы,Материал,2451,Нет,Нет,шт,0.2,Нет,Товары,2036629013,,Нет,,Нет,94.16,620.58379,2,Руб
701,1276,Крышка-переходник тип 510 шт,Крышка-переходник тип 510 шт,2437,шт,Нет,Склад Максимова Т.,Товар,2437,Нет,Нет,шт,Без НДС,Нет,Товары,2036629013,,Нет,,Нет,1.7000000000000002,565.96,5,Руб
702,1277,Крюк,Крюк,2637,шт,Нет,Строительные товары двери,Товар,2637,Нет,Нет,шт,0.2,Нет,Товары,2799346150,,Нет,,Нет,29.32,428.12548,96,Руб
703,1300,Крючок №200 с кронштейном белый,Крючок №200 с кронштейном белый,2053,шт,Нет,Оборудование,Товар,2053,Нет,Нет,шт,0.2,Нет,Товары,2799346150,,Нет,,Нет,2.79,557.1554,3,Руб
704,1301,Кулеры универсальные,Кулеры универсальные,1905,шт,Нет,Материалы,Материал,1905,Нет,Нет,шт,0.2,Нет,Товары,2799346150,,Нет,,Нет,68.4,693.47151,72,Руб
705,1302,Курсовые разницы,Курсовые разницы,2083,шт,Нет,Услуги,Услуга,2083,Нет,Нет,шт,0.2,Да,Товары,1342239066,,Нет,,Нет,19.71,85.1675,35,Руб
706,1303,Курьерские услуги,Курьерские услуги,2038,шт,Нет,Услуги,Услуга,2038,Нет,Нет,шт,0.2,Да,Товары,1342239066,,Нет,,Нет,16.26,148.2406,48,Руб
707,1304,Ламинат,,2212,,Нет,,Товар,2212,Нет,Нет,,,Нет,,1342239066,,Нет,,Нет,91.45,523.47828,35,Руб
708,1305,Ламинат Aberhof,,4,,Нет,Ламинат,Товар,4,Нет,Нет,,,Нет,,2505007552,,Нет,,Нет,58.54,451.26401,54,Руб
709,1306,Ламинат ART 12мм 33класс,Ламинат ART 12мм 33класс,2497,м2,Нет,EUROHOME,Товар,2497,Нет,Да,м2,0.2,Нет,Товары,2505007552,МЕГАСТОР ООО,Нет,,Нет,83.98,879.73818,42,Руб
710,1307,Ламинат ATLAS,,2309,,Нет,Ламинат,Товар,2309,Нет,Нет,,,Нет,,2505007552,,Нет,без упаковки 12 штук,Нет,56.47,471.26597,37,Руб
711,1310,Ламинат ATLAS 8мм 33кл,,2317,,Нет,Ламинат ATLAS,Товар,2317,Нет,Нет,,,Нет,,3810719769,,Нет,,Нет,41.14,852.35051,28,Руб
712,1311,Ламинат ATLAS 8мм 33класс,Ламинат ATLAS 8мм 33класс,2316,м2,Нет,Ламинат ATLAS 8мм 33кл,Товар,2316,Нет,Да,м2,0.2,Нет,Товары,3810719769,,Нет,без упаковки 12 штук,Нет,17.18,952.16355,36,Руб
713,1312,Ламинат Cranberry 8мм 33кл фаска,Ламинат Cranberry 8мм 33кл фаска,2140,м2,Нет,Cranberry 8мм 33кл фаска,Товар,2140,Нет,Да,м2,0.2,Нет,Товары,3810719769,ОПУС ТД ООО,Нет,без упаковки 12 штук,Нет,70.7,165.11665,5,Руб
714,1313,Ламинат Cruise,Ламинат Cruise 10мм 33класс,2259,м2,Нет,Cruise,Товар,2259,Нет,Да,м2,0.2,Нет,Товары,1600287234,,Нет,без упаковки 12 штук,Нет,20.5,373.7478,65,Руб
715,1314,Ламинат Derby Arteon 8мм 33 класс,Ламинат Derby Arteon 8мм 33 класс,2478,м2,Нет,Derby Arteon,Товар,2478,Нет,Да,м2,0.2,Нет,Товары,1600287234,ГРУППА ВОСТОК ООО,Нет,,Нет,44.49,757.33678,93,Руб
716,1315,Ламинат DUBART,Ламинат DUBART,1874,м2,Нет,DUBART,Товар,1874,Нет,Да,м2,0.2,Нет,Товары,1600287234,ТАРКЕТТ РУС АО,Нет,,Нет,96.2,2886.0,30,Руб
717,1316,Ламинат Emerald,Ламинат Emerald,1867,м2,Нет,Emerald снят с производства,Товар,1867,Нет,Да,м2,0.2,Нет,Товары,3518383665,,Нет,,Нет,81.79,40.3271,6,Руб
718,1317,Ламинат Form 8мм 33 класс,Ламинат Form 8мм 33 класс,2222,м2,Нет,Form 8 мм 33 класс,Товар,2222,Нет,Да,м2,0.2,Нет,Товары,3518383665,,Нет,,Нет,47.2,876.41189,52,Руб
719,1320,Ламинат Iceberg,Ламинат Iceberg 8.4мм 34класс,2266,м2,Нет,Iceberg,Товар,2266,Нет,Да,м2,0.2,Нет,Товары,3593867593,,Нет,,Нет,76.71,406.31144,26,Руб
720,1321,Ламинат IDEAL,,2125,,Нет,Ламинат,Товар,2125,Нет,Нет,,,Нет,,3593867593,,Нет,,Нет,85.32,70389.0,825,Руб
721,1322,Ламинат Kompass,Ламинат Kompass,1821,м2,Нет,Kompass снят с производства,Товар,1821,Нет,Да,м2,0.2,Нет,Товары,3593867593,ОПУС ТД ООО,Нет,,Нет,72.24,56.4045,44,Руб
722,1323,Ламинат Kronostar,,1919,,Нет,Ламинат,Товар,1919,Нет,Нет,,,Нет,,3593867593,,Нет,,Нет,15.72,231.3631,32,Руб
723,1324,Ламинат Legend (старый размер снят),Ламинат Legend (старый размер снят),1899,м2,Нет,Legend 33 снимается,Товар,1899,Нет,Да,м2,0.2,Нет,Товары,741744805,ОПУС ТД ООО,Нет,,Нет,9.97,108.1076,76,Руб
724,1325,Ламинат Legend NEW,Ламинат Legend NEW,2088,м2,Нет,Legend 33 снимается,Товар,2088,Нет,Да,м2,0.2,Нет,Товары,741744805,ОПУС ТД ООО,Нет,,Нет,88.95,504.4483,8,Руб
725,1326,Ламинат LOFT 8мм 32класс,Ламинат LOFT 8мм 32класс,2495,м2,Нет,EUROHOME,Товар,2495,Нет,Да,м2,0.2,Нет,Товары,4201390831,МЕГАСТОР ООО,Нет,без упаковки 12 штук,Нет,30.89,674.20819,86,Руб
726,1327,Ламинат Look 7мм 32кл,Ламинат Look 7мм 32кл,2220,м2,Нет,Look 7мм 32 класс ,Товар,2220,Нет,Да,м2,0.2,Нет,Товары,4201390831,,Нет,,Нет,48.13,170.8182,1,Руб
727,1330,Ламинат MAJESTIC 8мм 33класс,Ламинат MAJESTIC 8мм 33класс,2496,м2,Нет,EUROHOME,Товар,2496,Нет,Да,м2,0.2,Нет,Товары,4201390831,МЕГАСТОР ООО,Нет,,Нет,81.63,86.702,18,Руб
728,1331,Ламинат Quality flooring 5мм 32 класс,Ламинат Quality flooring 5мм 32 класс,2533,м2,Нет,SPC,Товар,2533,Нет,Да,м2,0.2,Нет,Товары,3872070865,,Нет,,Нет,28.36,736.20872,96,Руб
729,1332,Ламинат Raspberry 8мм 33кл фаска,Ламинат Raspberry 8мм 33кл фаска,2141,м2,Нет,Raspberry 8мм 33кл фаска,Товар,2141,Нет,Да,м2,0.2,Нет,Товары,3872070865,ОПУС ТД ООО,Нет,,Нет,35.79,310.11094,9,Руб
730,1333,Ламинат Regatta,Ламинат Regatta,2006,м2,Нет,Regatta снят с производства 2016,Товар,2006,Нет,Да,м2,0.2,Нет,Товары,3872070865,ОПУС ТД ООО,Нет,,Нет,19.62,10.0196,2,Руб
731,1334,Ламинат Robinson,Ламинат Robinson,2063,уп,Нет,Ламинат Таркетт,Товар,2063,Нет,Да,уп,0.2,Нет,Товары,4115105943,ОЛИМП И К АО,Нет,,Нет,36.96,224.8279,4,Руб
732,1335,Ламинат Silver,Ламинат Silver,1417,м2,Нет,Silver снят с производства,Товар,1417,Нет,Да,м2,0.2,Нет,Товары,4115105943,ОПУС ТД ООО,Нет,,Нет,84.79,812.68849,48,Руб
733,1336,Ламинат Storm,Ламинат Storm,1823,м2,Нет,Storm,Товар,1823,Нет,Да,м2,0.2,Нет,Товары,2272247985,ОПУС ТД ООО,Нет,,Нет,12.67,361.4573,87,Руб
734,1337,Ламинат Superior,Ламинат Superior,2031,м2,Нет,Superior,Товар,2031,Нет,Да,м2,0.2,Нет,Товары,2272247985,,Нет,,Нет,97.9,258.25258,2,Руб
735,1340,Ламинат Synchrotec,Ламинат Synchrotec,1955,м2,Нет,Synchrotec,Товар,1955,Нет,Да,м2,0.2,Нет,Товары,2272247985,,Нет,,Нет,43.59,940.40974,6,Руб
736,1341,Ламинат Victory,Ламинат Victory,1824,м2,Нет,Victory,Товар,1824,Нет,Да,м2,0.2,Нет,Товары,2189643924,ОПУС ТД ООО,Нет,,Нет,64.43,431.27769,33,Руб
